month,term,value,category,index,x,y,vy,vx,monthNum
2017-04-01,Sudan,0,location,4339,360.4684626947088,155.12907840237312,0.24890861787522744,0.07532032889530568,1491004800000
2017-05-01,Sudan,0.59,location,4340,371.6266261227369,146.21855251232762,-0.45120681297569537,0.5302395400196676,1493596800000
2017-06-01,Sudan,0.31,location,4341,380.0351891487785,173.31011464327494,0.11218174292391796,-0.1761060633276061,1496275200000
2017-07-01,Sudan,0,location,4342,397.8604176767273,153.9895317350553,0.4043024087920819,-0.043149127711230965,1498867200000
2017-08-01,Sudan,0,location,4343,411.169755849337,141.1873796559157,0.1568709519388766,-0.044527318775946845,1501545600000
2017-09-01,Sudan,0,location,4344,418.8623148286144,193.28689797297517,0.11343859347201984,-0.017352492525786047,1504224000000
2017-10-01,Sudan,0,location,4345,431.3078782190346,122.37694501114022,0.31647390947021486,-0.1545170158294316,1506816000000
2017-11-01,Sudan,0,location,4346,445.7526069400969,156.24415184653927,0.3244679311086759,-0.05556424298633828,1509494400000
2017-12-01,Sudan,0,location,4347,462.76082441872984,159.89520397753716,0.0037081622499358477,0.2201878635555577,1512086400000
2018-01-01,Sudan,0,location,4348,472.4325554402519,139.12396611794185,-0.28459176629134475,-0.007060403834461226,1514764800000
2018-02-01,Sudan,0,location,4349,489.81437493683376,183.25863193860206,0.09945221132745127,0.016997313225271926,1517443200000
2018-03-01,Sudan,0.54,location,4350,496.31184749545815,159.297371827639,-0.16180287740042823,0.23323550358413264,1519862400000
2018-04-01,Sudan,0,location,4351,518.7186551666224,146.3809850645604,-0.07731055563628522,-0.11279071360121312,1522540800000
2018-05-01,Sudan,0,location,4352,525.8988739991778,154.6629662093112,-0.8931440681854969,-0.850815688737339,1525132800000
2018-06-01,Sudan,0,location,4353,540.7340893103475,126.32434364117151,-0.04360749419566265,-0.0742714390087458,1527811200000
2018-07-01,Sudan,0,location,4354,556.8082301981051,157.36425191049307,0.5595464032232667,0.28463707675584266,1530403200000
2018-08-01,Sudan,0,location,4355,570.6125717081464,158.15408220562182,0.1317492073769282,0.6846191530980043,1533081600000
2018-09-01,Sudan,0,location,4356,578.6307468049149,146.22268670910842,-0.4289786443229355,-0.6249547357846152,1535760000000
2018-10-01,Sudan,0,location,4357,597.7230949777389,170.07390148772365,0.04489518566996935,0.0504569332974492,1538352000000
2018-11-01,Sudan,0,location,4358,602.5189959516907,122.0265322940043,-0.11653984011751377,-0.06018404007363217,1541030400000
2018-12-01,Sudan,0.28,location,4359,616.1367626703769,136.62663824081267,-0.019585942876075756,-0.16055373621861313,1543622400000
2019-01-01,Sudan,0.27,location,4360,636.8762241793816,152.10463951234527,-0.14757355863133406,-0.16402159225605825,1546300800000
2019-02-01,Sudan,0,location,4361,638.6245846267542,143.57956268490747,0.39097587118677996,-0.3520961334124743,1548979200000
2019-03-01,Sudan,0,location,4362,656.2574264475855,178.8867600150212,-0.6660401441604399,0.5236794070515097,1551398400000
2019-04-01,Sudan,0,location,4363,668.7993437277651,146.83395791852197,0.3766089738016432,-0.4259298569376427,1554076800000
2019-05-01,Sudan,0.26,location,4364,690.338421392331,140.19411063936016,0.11517823302857572,-0.3453263556213045,1556668800000
2019-06-01,Sudan,10.77,location,4365,696.9415941573473,183.0199567084215,0.12428072208294716,0.013837961253569947,1559347200000
2019-07-01,Sudan,0.52,location,4366,711.6429616437499,129.83380935353907,-0.5193966563275657,-0.005477405510042654,1561939200000
2019-08-01,Sudan,0.26,location,4367,720.1518472245933,140.61472118606818,-0.7749734686636873,-0.7868204865509583,1564617600000
2019-09-01,Sudan,0,location,4368,736.5806986415511,158.91857082389905,1.2169034495633309,-0.8171892825186238,1567296000000
2019-10-01,Sudan,0,location,4369,751.1992262948845,144.04236658628616,0.33573817480768114,0.5612920633863039,1569888000000
2019-11-01,Sudan,0,location,4370,763.6040528422109,174.9676576227115,0.11520910429989262,-0.037835553622285745,1572566400000
2019-12-01,Sudan,0.25,location,4371,772.9515899799097,153.90008555031514,-0.13996343671567957,-0.49518719709200776,1575158400000
2020-01-01,Sudan,0.24,location,4372,789.5089631016059,160.19748865575062,0.2184870501463587,0.5691865906126388,1577836800000
2020-02-01,Sudan,0,location,4373,801.565202581674,162.80928146658619,-0.07493714130869912,-0.5206588463545265,1580515200000
2020-03-01,Sudan,0,location,4374,818.8712544529928,136.32395909180255,0.7460773900589998,0.47702142812481496,1583020800000
2020-04-01,Sudan,0.22,location,4375,824.6458876244304,156.30964434631275,-0.03200157847609537,-0.4743780094123666,1585699200000
2020-05-01,Sudan,0.21,location,4376,848.4918457282059,150.96189943806198,-0.28545203739482855,0.01961283067227713,1588291200000
2020-06-01,Sudan,0,location,4377,856.9409171542975,146.84187596079613,-0.5326016374020806,0.3615607380758691,1590969600000
2020-07-01,Sudan,0,location,4378,865.5723014620644,172.40300306055374,0.021668005605435112,-0.03807014028921345,1593561600000
2020-08-01,Sudan,0,location,4379,883.8491216500852,124.35646120447781,0.01072362470987187,-0.010019616331666191,1596240000000
